trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success,decay,alpha
42,False,"{'a': 0.1, 'e': 0.1599999999999994}",32,20,18.7936664522,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1,0.02,0.1
43,False,"{'a': 0.1, 'e': 0.1399999999999994}",32,26,-1.00430538886,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1,0.02,0.1
44,False,"{'a': 0.1, 'e': 0.1199999999999994}",32,14,-101.304776772,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 3}",1,0.02,0.1
45,False,"{'a': 0.1, 'e': 0.0999999999999994}",32,22,17.7922773314,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1,0.02,0.1
46,False,"{'a': 0.1, 'e': 0.07999999999999939}",32,23,7.75381708156,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1,0.02,0.1
47,False,"{'a': 0.1, 'e': 0.05999999999999939}",32,24,11.0022633895,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1,0.02,0.1
48,False,"{'a': 0.1, 'e': 0.03999999999999938}",48,30,20.3622632751,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1,0.02,0.1
1,True,"{'a': 0, 'e': 0}",48,26,-10.0462275703,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1,0.02,0.1
2,True,"{'a': 0, 'e': 0}",32,0,43.8293417116,"{0: 32, 1: 0, 2: 0, 3: 0, 4: 0}",0,0.02,0.1
3,True,"{'a': 0, 'e': 0}",32,18,-1.40536490057,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1,0.02,0.1
4,True,"{'a': 0, 'e': 0}",32,17,17.8309061485,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1,0.02,0.1
5,True,"{'a': 0, 'e': 0}",40,28,16.9002194863,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1,0.02,0.1
6,True,"{'a': 0, 'e': 0}",32,26,9.77590792627,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1,0.02,0.1
7,True,"{'a': 0, 'e': 0}",32,27,-12.1426247855,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1,0.02,0.1
8,True,"{'a': 0, 'e': 0}",32,0,14.1619212588,"{0: 31, 1: 0, 2: 0, 3: 1, 4: 0}",0,0.02,0.1
9,True,"{'a': 0, 'e': 0}",32,19,-21.6268562827,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1,0.02,0.1
10,True,"{'a': 0, 'e': 0}",48,35,19.8705616848,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1,0.02,0.1
1,False,"{'a': 0.1, 'e': 0.99}",40,0,-211.744900708,"{0: 26, 1: 7, 2: 2, 3: 1, 4: 4}",0,0.01,0.1
2,False,"{'a': 0.1, 'e': 0.98}",48,0,-287.153888929,"{0: 31, 1: 1, 2: 9, 3: 3, 4: 4}",0,0.01,0.1
3,False,"{'a': 0.1, 'e': 0.97}",32,0,-242.459932122,"{0: 13, 1: 8, 2: 7, 3: 1, 4: 3}",0,0.01,0.1
4,False,"{'a': 0.1, 'e': 0.96}",48,0,-239.003998845,"{0: 30, 1: 4, 2: 9, 3: 2, 4: 3}",0,0.01,0.1
5,False,"{'a': 0.1, 'e': 0.95}",40,0,-154.291115862,"{0: 31, 1: 0, 2: 6, 3: 0, 4: 3}",0,0.01,0.1
6,False,"{'a': 0.1, 'e': 0.94}",48,0,-278.159924023,"{0: 29, 1: 6, 2: 8, 3: 0, 4: 5}",0,0.01,0.1
7,False,"{'a': 0.1, 'e': 0.9299999999999999}",48,0,-201.727400207,"{0: 33, 1: 2, 2: 10, 3: 0, 4: 3}",0,0.01,0.1
8,False,"{'a': 0.1, 'e': 0.9199999999999999}",32,0,-112.350626135,"{0: 21, 1: 4, 2: 5, 3: 1, 4: 1}",0,0.01,0.1
